  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.8750   0.01601   0.00892  -0.0026   1.0000   0.0550
  -7.000  -0.7959   0.01407   0.00700   0.0031   1.0000   0.0736
  -6.000  -0.7155   0.01239   0.00550   0.0086   1.0000   0.1124
  -5.000  -0.6318   0.01095   0.00447   0.0133   1.0000   0.1961
  -4.000  -0.5088   0.00971   0.00381   0.0096   0.9928   0.3322
  -3.000  -0.3562   0.00859   0.00329   0.0004   0.9757   0.4814
  -2.000  -0.2143   0.00762   0.00282  -0.0055   0.9502   0.6140
  -1.000  -0.1029   0.00693   0.00249  -0.0038   0.8993   0.7261
   0.000   0.0000   0.00668   0.00238  -0.0000   0.8231   0.8231
   1.000   0.1029   0.00693   0.00249   0.0038   0.7261   0.8993
   2.000   0.2143   0.00762   0.00282   0.0055   0.6140   0.9502
   3.000   0.3562   0.00859   0.00329  -0.0004   0.4814   0.9757
   4.000   0.5088   0.00971   0.00381  -0.0096   0.3322   0.9928
   5.000   0.6317   0.01095   0.00447  -0.0132   0.1962   1.0000
   6.000   0.7154   0.01239   0.00550  -0.0086   0.1125   1.0000
   7.000   0.7959   0.01407   0.00699  -0.0031   0.0736   1.0000
   8.000   0.8749   0.01601   0.00891   0.0026   0.0550   1.0000
