  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -1.5741   0.09408   0.08816   0.0602   0.9998   0.0213
  -7.000  -1.5457   0.08799   0.08122   0.0653   0.5577   0.0234
  -6.000  -1.5072   0.08238   0.07531   0.0706   0.5472   0.0261
  -5.000  -1.4623   0.07753   0.07020   0.0761   0.5383   0.0297
  -4.000  -1.4125   0.07323   0.06564   0.0817   0.5294   0.0347
  -3.000  -1.3617   0.06921   0.06156   0.0875   0.5201   0.0418
  -2.000  -1.3072   0.06554   0.05783   0.0932   0.5100   0.0534
  -1.000  -1.2522   0.06203   0.05443   0.0990   0.4985   0.0757
   0.000  -1.2028   0.05826   0.05110   0.1053   0.4872   0.1333
   1.000  -1.1823   0.05212   0.04588   0.1134   0.4774   0.2655
   2.000  -1.3112   0.03099   0.02513   0.1296   0.4752   0.3545
   4.000  -1.3090   0.02430   0.01840   0.1590   0.4556   0.5669
   6.000  -0.6786   0.06292   0.05738   0.1356   0.4035   0.6511
   7.000  -0.6092   0.05918   0.05353   0.1395   0.3842   0.6512
   8.000  -0.5375   0.05558   0.04983   0.1432   0.3604   0.6514
